Id,Nombre,Descripción,Precio,Categoría,Ingredientes,Disponible
e1fe1649-7799-4cd1-a87d-ab6081a92c0b,Pizza Margherita,"Pizza clásica con tomate, mozzarella y albahaca.",12.5,Plato,"['Tomate', 'Mozzarella', 'Albahaca']",False
4388337f-0ce7-4b35-a7c3-8bdb4ec3546c,Pizza Pepperoni,"Pizza con pepperoni extra, tomate y queso.",14.0,Plato,"['Tomate', 'Queso', 'Pepperoni']",True
ab4d71e7-aebf-4b8e-95af-0cf7a9ab378b,Pasta Carbonara,Pasta en salsa carbonara cremosa con tocino.,11.0,Plato,"['Pasta', 'Huevo', 'Tocino', 'Queso Parmesano']",True
074bdfff-be6c-41bb-819a-f89a21c218e1,Pasta al Pesto,Pasta con salsa pesto de albahaca y piñones.,10.5,Plato,"['Pasta', 'Albahaca', 'Piñones', 'Queso Parmesano']",False
799371fc-0f2f-427c-a254-469562ef40ec,Lasagna Tradicional,"Lasagna con capas de carne, queso y salsa de tomate.",13.0,Plato,"['Carne', 'Queso', 'Pasta', 'Tomate']",True
c372cfcd-0295-451b-9e98-19ff0e29b250,Espresso,Café espresso fuerte e intenso.,3.0,Bebida,['Café'],True
f73c102e-07ba-4543-bb06-d25deb083b68,Ensalada Caprese,"Ensalada fresca con tomate, mozzarella y albahaca.",8.0,Entrante,"['Tomate', 'Mozzarella', 'Albahaca', 'Aceite de Oliva']",False
b58fe874-fe7a-4b02-8b21-fdae98ade924,Tiramisu,Postre italiano con capas de mascarpone y café.,6.5,Postre,"['Mascarpone', 'Café', 'Bizcocho', 'Cacao']",True
cd52189f-6c37-4b75-8cc1-31b51ed286c3,Pizza Margherita,"Pizza clásica con tomate, mozzarella y albahaca.",12.5,Plato,"['Tomate', 'Mozzarella', 'Albahaca']",True
c2db1311-db46-449d-9c1b-ecf4b3d2b1b3,Pizza Pepperoni,"Pizza con pepperoni extra, tomate y queso.",14.0,Plato,"['Tomate', 'Queso', 'Pepperoni']",False
132a2386-3d13-49a1-a599-0a9630d1e99a,Pasta Carbonara,Pasta en salsa carbonara cremosa con tocino.,11.0,Plato,"['Pasta', 'Huevo', 'Tocino', 'Queso Parmesano']",True
ee9c8a1c-b44b-4bee-8c53-124f3098f46e,Pasta al Pesto,Pasta con salsa pesto de albahaca y piñones.,10.5,Plato,"['Pasta', 'Albahaca', 'Piñones', 'Queso Parmesano']",True
7dc55ca4-1978-4e86-887f-5b9cdf040d03,Lasagna Tradicional,"Lasagna con capas de carne, queso y salsa de tomate.",13.0,Plato,"['Carne', 'Queso', 'Pasta', 'Tomate']",False
